epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5545617341995239,0.5599039793014526,0.09262427687644958,0.5464285612106323,0.5563636422157288,0.5206611752510071,0.606010913848877,0.05867381766438484,0.6000000238418579,0.10000000149011612
1,0.5688729882240295,0.590364933013916,0.08925627171993256,0.565891444683075,0.5309090614318848,0.6363636255264282,0.7308743000030518,0.041507791727781296,0.75,0.4000000059604645
2,0.6189624071121216,0.6545389890670776,0.07186637818813324,0.6139705777168274,0.607272744178772,0.71074378490448,0.784562885761261,0.03502262756228447,0.7450980544090271,0.6333333253860474
3,0.6118068099021912,0.6648015379905701,0.07485313713550568,0.6058394312858582,0.6036363840103149,0.71074378490448,0.8237705230712891,0.033193446695804596,0.6865671873092651,0.7666666507720947
4,0.652951717376709,0.7137644290924072,0.06336477398872375,0.6354514956474304,0.6909090876579285,0.8016529083251953,0.8637979030609131,0.02955925278365612,0.8333333134651184,0.75
5,0.6601073145866394,0.7349103689193726,0.05946687236428261,0.6545454263687134,0.6545454263687134,0.7933884263038635,0.8733606338500977,0.028497949242591858,0.7868852615356445,0.800000011920929
6,0.663685142993927,0.7422727346420288,0.05855538323521614,0.6537102460861206,0.6727272868156433,0.8099173307418823,0.8756830096244812,0.02830270305275917,0.8245614171028137,0.7833333611488342
7,0.6815742254257202,0.7595134973526001,0.05557714030146599,0.6776556968688965,0.6727272868156433,0.8016529083251953,0.8803278803825378,0.027588948607444763,0.8103448152542114,0.7833333611488342
8,0.6350626349449158,0.6962932348251343,0.06880013644695282,0.6281588673591614,0.6327272653579712,0.8347107172012329,0.8997267484664917,0.02613980509340763,0.8571428656578064,0.800000011920929
9,0.6815742254257202,0.7526376843452454,0.056805968284606934,0.6750902533531189,0.6800000071525574,0.8264462947845459,0.8993169069290161,0.02596403658390045,0.8545454740524292,0.7833333611488342
10,0.6797853112220764,0.7505953311920166,0.053559817373752594,0.6739130616188049,0.6763636469841003,0.8264462947845459,0.9004098773002625,0.025727074593305588,0.8545454740524292,0.7833333611488342
11,0.6744186282157898,0.7332777976989746,0.06235789507627487,0.6690909266471863,0.6690909266471863,0.8181818127632141,0.9000000357627869,0.025711294263601303,0.8392857313156128,0.7833333611488342
12,0.6690518856048584,0.7380473613739014,0.058531466871500015,0.6499999761581421,0.7090908885002136,0.8264462947845459,0.9010928869247437,0.025744948536157608,0.8545454740524292,0.7833333611488342
13,0.6994633078575134,0.7742509841918945,0.05078662559390068,0.6890459656715393,0.7090908885002136,0.8264462947845459,0.9001365900039673,0.025803254917263985,0.8545454740524292,0.7833333611488342
14,0.6994633078575134,0.7717925906181335,0.05325433239340782,0.6813559532165527,0.7309091091156006,0.8264462947845459,0.8998633623123169,0.025908682495355606,0.8545454740524292,0.7833333611488342
